Identifiant,NomGroupePlat,NumPlat,Aliment,NomFamPlat,TextRecette,Viande,Poisson,Ig(bas:55 ou moins; moyen: 56-60 élevé: >ou=70),MacroN,Végé,sansGluten,cétogène,DurPrep,SaisDeb,SaisFin,NumIng1,QteIng1,UniteIng1,NumIng2,QteIng2,UniteIng2,NumIng3,QteIng3,UniteIng3,NumIng4,QteIng4,UniteIng4,NumIng5,QteIng5,UniteIng5,NumIng6,QteIng6,UniteIng6,NumIng7,QteIng7,UniteIng7,NumIng8,QteIng8,UniteIng8,NumIng9,QteIng9,UniteIng9,NumIng10,QteIng10,UniteIng10,NumIng11,QteIng11,UniteIng11,NumIng12,QteIng12,UniteIng12,NumIng13,QteIng13,UniteIng13,NumIng14,QteIng14,UniteIng14,NumIng15,QteIng15,UniteIng15,NumIng16,QteIng16,UniteIng16,NumIng17,QteIng17,UniteIng17,NumIng18,QteIng18,UniteIng18,NumIng19,QteIng19,UniteIng19,NumIng20,QteIng20,UniteIng20,Prix,Diff,Medi,Sanssel,Porc
333,Légumineuses,89,Haricot rouge,Riz et haricots rouges,"Hacher l’oignon, l’ail,couper en petits cubes le poivron.
Faire chauffer l’huile dans une grande poêle ou une casserole ajoutez l’oignon et le poivron. Faire revenir environ 3 minutes. Incorporer l’ail et toutes les épices et faire revenir encore une minute.
Ensuite, ajouter le riz et le bouillon de légumes et portez le mélange à ébullition.Couvrir la poêle ou la casserole et laisser mijoter à feu doux pendant environ 15 à 20 minutes ou jusqu’à ce que le riz soit cuit. Ne découvrez pas le couvercle et ne remuez pas pendant la cuisson ! 
Éteignez le feu, retirez le couvercle et goûtez le riz.Rectifier les assaisonnements si nécessaire, en ajoutant plus de sel, de poivre noir, de cumin, de flocons de piment rouge, etc. au goût. Incorporer les haricots et les olives (facultatives) et garnir de persil frais.",non,non,moyen,P-G,oui,non,non,20,janvier,décembre,9108,60,g,20524,40,g,20034,20,g,11000,5,g,13186,20,g,17270,15,ml,11014,5,g,25948,5,g,11049,5,g,11042,5,g,11017,1,pincée,11015,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
334,Légumineuses,66,pois chiches,pois chiches au poulet,"Dans une grande casserole, faites dorer les filets de poulet, puis réservez. Faites ensuite revenir les oignons et l'ail dans l'huile, remettez les filets et ajoutez les tomates coupées et écrasées et les pois chiches (égouttés et rincés). Couvrez et laissez mijoter 30min (ajoutez un peu d'eau si nécessaire en milieu de cuisson), ajoutez le basilic et les olives en fin de cuisson.",oui,non,bas,P-L-G,non,non,non,35,janvier,décembre,20532,200,g,36040,150,g,17270,10,ml,20276,100,g,13186,40,g,20034,30,g,11033,20,g,11023,10,g,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
335,Légumineuses,67,pois chiches,poulet pois chiches au gingembre,"Emincer l'oignon et le poulet. Egoutter les pois chiches.
Faire chauffer l'huile dans une poêle et faite revenir le poulet et l'oignon.
Ajouter les épices et mélanger
Ajouter la pulpe de tomate pus mélanger, gouter et saler etpoivrer à votre convenance.
Ajouter les pois chiches, baisser les feu et laisser mijoter pendant 10min.
Servir et parsemer de coriandre fraiche ciselée.",oui,non,bas,P-G,non,non,non,40,janvier,décembre,20532,150,g,36040,150,g,20034,40,g,20276,100,g,20169,50,g,17270,10,ml,11006,5,g,11023,1,pincée,11042,2,g,11094,10,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
336,Légumineuses,68,pois chiches,"ragout de pomme de terre au poulet , pois chiches","Dans une grande poêle chauffez l'huile d'olive à feu moyen. Ajoutez le poulet et faites-le dorer de tous les côtés. Retirez-le de la poêle et réservez. Dans la même poêle, ajoutez l'oignon, la carotte. Faites revenir pendant environ 5 minutes jusqu'à ce que les légumes commencent à ramollir. Ajoutez l'ail et le gingembre, puis faites cuire encore une minute.Ajoutez les pois chiches (égouttés et rincés) et les tomates . Mélangez bien. Remettez le poulet dans la poêle. Ajoutez les herbes de provences et la ciboulettes. Portez à ébullition, puis réduisez le feu et laissez mijoter à couvert pendant environ 30 min. Assaisonnez avec du sel et du poivre selon votre goût. Servez chaud, garnir de persil frais haché.",oui,non,moyen,P-G,non,non,non,45,janvier,décembre,20532,150,g,4008,150,g,20276,100,g,36040,150,g,17270,10,ml,11174,500,ml,11014,10,g,20034,30,g,11023,5,g,11060,5,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
337,Légumineuses,69,pois chiches,Lieu noir au persil et pois chiches,"Egoutter les pois chiches. Eplucher et laver les carottes et l'oignon puis les couper. Dans une casserle, faire bouillir de l'eau puis cuire les carottes.
Dans une poêle, faire chauffer de l'huile et mettre l'oignon pour qu'il devienne translucide, une fois cuits, reserver les. Puis, dans la même poêle, Faire cuire le filet de lieu noir. Une fois cuit, reservez le.Dans la même poêle, ajouter oignons, carottes cuites et pois chiches, laisser dorer le tout, assaisonner à votre convenance. 
Servir et saupoudrer de persil frais haché.",non,oui,moyen,P-G,non,non,non,45,janvier,décembre,20532,200,g,26134,120,g,20009,50,g,20239,40,g,17270,10,ml,11014,10,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
338,Légumineuses,70,pois chiches,pois chiches à la tomate,"Cuire le riz au préalable selon les instructions. Dans une poêle, faites chauffer l'huile d'olive à feu moyen. Ajoutez les oignons et l'ail, et faites-les revenir jusqu'à ce qu'ils soient dorés et parfumés, environ 2-3 min. Ajoutez la tomate dans la poêle et laissez cuire pendant 3-4 min, en remuant de temps en temps, jusqu'à ce qu'ils commencent à ramollir et à libérer leur jus. Ajoutez les  pois chiches(égouttés et rincés) dans la poêle avec les tomates, les oignons et l'ail. Assaisonnez avec du sel et du poivre selon votre goût. Mélangez bien pour enrober les haricots du mélange de tomates.Laissez mijoter pendant environ 5-7 min, en remuant de temps en temps, pour que les haricots absorbent les saveurs de la tomate et des épices. Une fois que les haricots  sont bien chauds et que la sauce a épaissi légèrement, retirez la poêle du feu.Servez lespois chiches à la tomate dans un bol ou une assiette, garnis de persil frais. Dégustez chaud en accompagnement de riz cuit.",non,non,moyen,P-G,non,non,non,24,janvier,décembre,20532,150,g,20276,150,g,9120,60,g,17270,10,ml,20034,30,g,11023,5,g,11014,5,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
339,Légumineuses,71,pois chiches,Gratin de  pois chiches et brochette de poisson,"Préchauffez votre four à 180°C (350°F). Disposez les pois chiches(égouttés et rincés) dans un plat à gratin. Versez la crème liquide dessus. Salez, poivrez et ajoutez l'ail en poudre puis parsemez de fromage râpé, mettre au four 8-10min jusqu'à ce que le fromage soit légèrement grillé. Pendant ce temps,Enfilez les cubes de poisson sur une brochette en bois ou en métal. Assaisonnez les brochettes avec du sel, du poivre et un filet d'huile d'olive.
Faites chauffer une poêle ou un gril à feu moyen. Ajoutez les brochettes de poisson et faites-les cuire pendant environ 3-4 min de chaque côté, jusqu'à ce qu'elles soient dorées et cuites à cœur. Disposez la brochette de poisson à côté du gratin de haricots blancs sur une assiette. Garnissez éventuellement de persil frais haché pour une touche de couleur et de saveur supplémentaire.",non,oui,moyen,P-L-G,non,non,non,45,janvier,décembre,20532,200,g,26043,100,g,19430,100,ml,12804,50,g,17270,10,ml,11060,2,g,20034,30,g,11023,2,pincée,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
340,Légumineuses,72,pois chiches,pois chiches au lait de coco,"Reserver lespois chiches (égouttés et rincés). Mettre les oignons dans une casserole après les avoir préparés et coupés en fines lamelles, avec un peu d’huile d’olive. Couper la viande en petits morceaux. Ajouter et faire revenir les morceaux de viande. Ajouter le lait de coco. Puis ajouter l’ail écrasé, les noix, le poivre, le sel, le thym, le cumin, le persil et le laurier.Ensuite mélanger",non,non,bas,P-L-G,non,non,non,35,janvier,décembre,20532,200,g,18041,50,ml,15055,15,g,20034,30,g,11023,20,g,11014,10,g,11070,2,g,11042,2,g,11053,2,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
341,Légumineuses,73,pois chiches,"pois chiches aux herbes ,jambon de poulet","Couper les tranches de jambon en petit carré. Dans une poêle, faites chauffer l'huile d'olive à feu moyen. Ajoutez les oignons hachés et l'ail émincé. Faites-les revenir jusqu'à ce qu'ils soient dorés et parfumés, environ 2-3 min.Ajoutez les pois chiches (égouttés et rincés) dans la poêle, les oignons, l'ail et le jambon. Mélangez bien pour enrober les  pois chiches du mélange d'huile et d'aromates.Ajoutez le persil frais hachée dans la poêle avec les pois chiches. Assaisonnez avec du sel et du poivre. Mélangez bien pour combiner tous les ingrédients. Laissez mijoter pendant environ 2-3 minutes à feu doux, en remuant de temps en temps, jusqu'à ce que les pois chiches soient bien chauds et imprégnés des saveurs des herbes et des lardons. servez",oui,non,bas,P-G,non,non,non,15,janvier,décembre,20532,150,g,28963,80,g,17270,20,ml,20238,10,g,11023,2,g,11014,2,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,oui
342,Légumineuses,74,pois chiches,Curry d'haricot rouge et pois chiches,"Reserver les pois chiches(égouttés et rincés).Chauffer un peu d'huile d'olive ,faire revenir l'oignon et l'ail jusqu'à ce qu'ils soient dorés. Ajouter les  pois chiches et faire revenir pendant quelques minutes. Incorporer la poudre de curry, le curcuma et le cumin et bien mélanger .Verser le lait de coco dans la poêle. Ajouter les pois chiches cuits. Assaisonner avec du sel et du poivre selon votre goût. Laisser mijoter pendant 5min.Servir chaud.",non,non,bas,P-L-G,non,non,non,15,janvier,décembre,20532,150,g,20532,150,g,18041,100,ml,17270,10,ml,20034,20,g,11023,20,g,11005,1,pincée,11089,1,pincée,11042,2,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
343,Légumineuses,75,pois chiches,Curry au pois chiches et Lentilles vertes,"Rincer les lentilles puis les cuires à l'eau bouillante sans sel suivant les instructions(généralement 25min).Reserver les pois chiches(égouttés et rincés). Faire revenir l'oignon haché et l'ail émincé dans un peu d'huile jusqu'à ce qu'ils soient dorés. Ajoutez les pois chiches dans la poêle et faire sauter pendant quelques minutes. Incorporer les lentilles, les tomates concassées, le lait de coco, le curry et le curcuma dans la poêle. Mélangez bien.",non,non,bas,P-L-G,non,non,non,15,janvier,décembre,20532,200,g,20587,100,g,20276,100,g,18041,100,ml,20034,50,g,11023,10,g,11005,1,pincée,11089,1,pincée,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
344,Légumineuses,76,pois chiches,Curry de pois chiches au poulet et riz complet,"cuire le riz suivant les instructions. Pendant ce temps reserver les pois chiches (égouttés et rincés). Faire revenir l'oignon et l'ail dans un peu d'huile jusqu'à ce qu'ils soient dorés. Ajoutez le poulet et faire cuire jusqu'à ce qu'il soit doré. Versez le lait de coco et ajoutez les noix et la poudre de curry. Mélangez bien et laissez mijoter jusqu'à ce que le poulet soit cuit. Ajoutez les pois chiches, assaisonnez avec du sel et du poivre selon votre goût. servir avec le riz cuit.",oui,non,bas,P-L-G,non,non,non,35,janvier,décembre,20532,150,g,36040,150,g,9102,30,g,18041,100,ml,15055,10,g,11023,5,g,20034,50,g,11005,1,pincée,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,très facile,oui,<7g,non
345,Légumineuses,77,pois chiches,Petits pois à la menthe et  pois chiches rôtis au four,"Préchauffez votre four à 200°C (390°F). Dans un grand bol, mélangez les pois chiches égouttés et rincés, les quartiers d'oignon rouge et les rondelles de carottes avec l'huile d'olive, le romarin frais, le sel et le poivre noir moulu. Placez la plaque de cuisson au four préchauffé et faire rôtir les légumes pendant environ 25 minutes, en remuant à mi-cuisson pour une cuisson uniforme. Hacher les feuilles de menthe et les cuires avec les petis pois pendant environ 5min.",non,non,bas,P-G,non,non,non,25,janvier,décembre,20532,150,g,20009,100,g,20036,140,g,17270,10,ml,20238,50,g,11068,5,g,11027,5,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
346,Légumineuses,78,pois chiches,Gratin  au pois chiches à la tomate,"Préchauffez votre four à 180°C.
Huilez le petit moule allant au four.Disposez une couche de pois chiches au fond du moule, puis une couche de tomate. Saupoudrez d'ail émincé sur les pois chiches, puis assaisonnez avec du sel et du poivre selon votre goût.Verser la crème fraîche sur les pois chiches. Saupoudrez le fromage râpé au dessus du gratin. Enfournez pendant environ 15min. Laissez reposer quelques minutes avant de servir chaud..",non,non,bas,P-L-G,non,non,non,30,janvier,décembre,20532,200,g,20068,100,g,12060,50,g,19430,100,ml,17270,15,ml,11023,5,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
347,Légumineuses,79,pois chiches,Curry au pois chiches et dinde,"Reservez les pois chiches (égouttés et rincés). Faites chauffer un peu d'huile dans une casserole à feu moyen.Ajoutez l'oignon émincé et l'ail émincé, et faites-les revenir jusqu'à ce qu'ils soient dorés et parfumés.Ajoutez les morceaux de dinde et faites-les dorer de tous les côtés. Ajoutez les pois chiches  et mélangez bien.
Incorporer la poudre de curry  et bien enrober la viande et les légumes.Versez le lait de coco et le bouillon dans la casserole et portez à ébullition.Réduisez le feu et laissez mijoter doucement pendant environ 10 min. Assaisonnez avec du sel et du poivre selon votre goût.Servez le curry de pois chiches  chaud.",oui,non,bas,P-L-G,non,non,non,25,janvier,décembre,20532,200,g,36304,100,g,25948,50,ml,17270,15,ml,18041,100,ml,11023,5,g,20034,25,g,11005,10,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
348,Légumineuses,80,pois chiches,Filet de cabillaud sauce vin blanc et  pois chiches,"Reserver les pois chiches(égouttés et rincés). Préparez l'échalote et faites-la revenir dans l'huile jusqu'à ce qu'elle soit translucide.
Déglacez avec le vin blanc et laissez réduire de moitié. Ajoutez le bouillon dans 50ml d'eau, le thym et l'ail et laissez réduire de moitié à nouveau. Assaisonnez avec du sel, du poivre, et du persil si désiré. Pendant ce temps cuire le cabillaud à dans une poêle huilée. Nappez le cabillaud et les  pois chiches de cette sauce avant de servir.",non,oui,bas,P-G,non,non,non,30,janvier,décembre,20532,200,g,26043,200,g,17270,20,ml,5215,50,ml,25948,50,ml,11023,10,g,11070,10,g,20097,30,g,11014,1,pincée,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
349,Légumineuses,81,pois chiches,Filet de dorade cuit au four et pois chiches,Reserver les pois chiches(égouttés et rincés).Préchauffez votre four à 200°C. Émincez finement la gousse d'ail. Disposez les  pois chiches dans un plat allant au four préalablement huilé. Déposez le filet de poisson sur les  pois chiches. Répartissez l'ail émincé sur le poisson. Arrosez le tout d'un filet d'huile d'olive. Ajoutez les brins de thym frais par-dessus.Assaisonnez avec du sel et du poivre selon votre goût. Enfournez le plat dans le four préchauffé et laissez jusqu'à ce que le poisson soit cuit..,non,oui,bas,P-G,non,non,non,30,janvier,décembre,20532,200,g,26043,200,g,17270,10,ml,11023,10,g,20097,10,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
350,Légumineuses,82,pois chiches,Pavé de saumon grillé et pois chiches sauté,"Reserver les pois chiches(égouttés et rincés). Faites griller légèrement les graines de sésame dans une poêle sèche à feu moyen jusqu'à ce qu'elles soient dorées.Huilez le pavé de saumon. Pressez le saumon dans les graines. Dans la même poêle, ajoutez un peu plus d'huile d'olive, puis placez le pavé de saumon côté peau vers le bas.Faites cuire le saumon pendant environ 4-5 minutes de chaque côté. Ajoutez le reste des graines et les pois chiches dans la poêle en fin de cuisson.Une fois que le saumon est cuit, servez-le chaud avec les  pois chiches.",non,oui,bas,P-L-G,non,non,non,20,janvier,décembre,20532,200,g,26161,200,g,15010,10,g,17270,30,ml,11014,10,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
351,Légumineuses,83,pois chiches,pois chiches et escalope de poulet aux olives,"Reserver les pois chiches(égouttés et rincés). Dans une poêle, poursuivre la cuission des pois chiches avec l'ail, les herbes et épices pendant 5 min, rajoutez un peu d'eau si nécessaire. En parallèle cuire l'escalope à la poêle avec l'huile d'olive, puis ajoutez la crème, les olives et les herbes de provence.",oui,non,bas,P-L-G,non,non,non,20,janvier,décembre,20532,200,g,36029,160,g,13033,30,g,19430,100,ml,17270,10,ml,11023,60,g,11003,10,g,11060,10,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
352,Légumineuses,84,pois chiches,pois chiches & pommes de terre en épices,"Reserver les pois chiches(égouttés et rincés);cuire à la vapeur les pommes de terre. Faire revenir les oignons dans de l'huile d'olive, y verser les  pois chiches et pommes de terre, les faire revenir 5min à feu moyen.  Ajouter les autres ingrédients et laisser encore 2min à faible cuisson.",non,non,moyen,P-L-G,non,non,non,25,janvier,décembre,20532,150,g,4008,150,g,20504,100,g,13033,45,g,17270,10,ml,5215,10,ml,20034,30,g,11052,5,g,11094,15,g,11042,5,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
353,Légumineuses,85,pois chiches,"pois chiches, crevettes et feta à la grecque","Reserver les pois chiches(égouttés et rincés).Chauffer l’huile dans une grande poêle à frire. Ajouter les oignons et cuire doucement à feu moyen pendant 5min. Ajouter l’ail et les flocons de piments et cuire 1min de plus. Ajouter ensuite le vin et laisser évaporer complètement. Ajouter les  pois chiches ,le sel et le poivre et porter à ébullition, remuer constamment, jusqu’à l’obtention d’un mélange consistant: de 10 à 15 minutes. Ajouter les crevettes et bien brasser pour les incorporer aux  pois chiches. Transférer dans un plat allant au four. Saupoudrer le feta et les olives sur les crevettes. Enfourner dans un four préchauffé à 190°C (375°F) pendant 10 à 15 minutes, jusqu’à cuisson complète. Saupoudrer de persil.",non,oui,bas,P-L-G,non,non,non,30,janvier,décembre,20532,200,g,10021,100,g,13033,45,g,17270,15,ml,12061,50,g,5215,10,ml,11023,1,g,20034,30,g,20151,1,pincée,11014,10,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
354,Légumineuses,86,pois chiches,pois chiches au poulet  et aux herbes,"Cuire le riz suivant les instructions.Reserver les  pois chiches(égouttés et rincés). Faites chauffer l'huile d'olive dans une poêle à feu moyen.Ajoutez le filet de poulet et faites-le dorer de chaque côté pendant environ 5min. Retirez-le de la poêle et réservez.Dans la même poêle, ajoutez l'oignon émincé et faites-le revenir jusqu'à ce qu'il devienne translucide. Ajoutez l'ail haché et faites-le revenir pendant 1min de plus. Ajoutez les  pois chiches et le concentré de tomate. Mélangez bien. Ajoutez le thym, l'origan, le sel et le poivre. Laissez mijoter pendant environ 10min. Remettez le filet de poulet dans la poêle avec les pois chiches. Laissez mijoter pendant 5min de plus pour que le poulet s'imprègne bien des saveurs de la sauce.Servez le avec du riz cuit.",oui,non,moyen,P-L-G,non,non,non,40,janvier,décembre,20532,200,g,20068,15,g,36040,200,g,9119,60,g,17270,15,ml,11023,1,g,20034,30,g,11038,1,g,11035,1,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
355,Légumineuses,87,pois chiches,Tarte au pois chiches et à la Crème de Parmesan,"Préchauffez votre four à 200°C (390°F).
Déroulez la pâte feuilletée et découpez un rectangle. Placez la pâte sur une plaque de cuisson recouverte de papier sulfurisé. Piquez-la légèrement avec une fourchette pour éviter qu'elle ne gonfle trop pendant la cuisson. Dans un bol, mélangez la crème fraîche avec la moutarde de Dijon et le parmesan râpé jusqu'à obtenir une consistance homogène. Étalez cette crème sur la pâte feuilletée en laissant une bordure d'environ 1 cm tout autour. Disposez les  pois chiches de manière uniforme sur la crème de parmesan, saupoudrez avec les herbes de Provence, le sel et le poivre.Arrosez légèrement d'huile d'olive.
Enfournez la tarte dans le four préchauffé et laissez cuire pendant 20 à 25 minutes, 
Garnissez avec des feuilles de basilic frais avant de servir.",non,non,moyen,P-L-G,non,non,non,30,janvier,décembre,20532,200,g,23424,75,g,12120,30,g,19430,30,ml,17270,5,ml,11013,5,g,11060,2,g,11033,3,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
356,Légumineuses,88,pois chiches,"Tarte au pois chiches,tomate et au romarin","Reserver les  pois chiches (égouttés et rincés). Préchauffez votre four à 200°C (390°F).
Lavez  les tomates, puis coupez-les en tranches fines. Effeuillez quelques brins de romarin.Étalez la pâte brisée ou feuilletée sur une surface légèrement farinée. Transférez-la sur une plaque de cuisson recouverte de papier sulfurisé. Disposez les  pois chiches et de tomates de manière alternée sur la pâte, en les chevauchant légèrement. Parsemez les brins de romarin sur les légumes. Saupoudrez de fromage de chèvre émietté. Arrosez d'huile d'olive. Salez et poivrez selon votre goût. Sortez la tarte du four et laissez-la reposer quelques minutes avant de la découper.
Servez chaud.",non,non,moyen,P-L-G,non,non,non,40,janvier,décembre,20532,150,g,20276,150,g,23424,75,g,12120,30,g,12800,30,g,17270,5,ml,11013,5,g,11060,2,g,11068,2,g,11033,2,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
357,Légumineuses,89,pois chiches,shakshuka végétarienne,"Faire sauter l'ail et l'oignon hachés dans une poêle avec de l'huile chaude et ajouter toutes les épices. 
Ajouter les tomates pelées coupées en dés et leur jus aisi que le poivron coupé en petits dés . laisser mijoter 15minutes.
Ajouter les pois chiches préalablement égoutés et laisser mijoter 5 min de plus.
Faire 2 creux sur le dessus de la préparation et casser deux oeufs dedans. Laisser les cuire 4 à 7 minutes suivant vos préférences.
Ajouter ensuite de la feta emiettée sur le dessus et les herbes.",non,non,moyen,P-G,oui,non,non,30,juin,septembre,20532,40,g,20041,100,g,20034,20,g,11000,5,g,20048,20,g,17270,15,ml,22000,2,oeuf,12061,30,g,11094,5,g,11014,5,g,11088,2,g,11049,5,g,11042,5,g,11017,1,pincée,11015,1,pincée,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
358,Légumineuses,66,Pois cassés,Pois cassés au poulet,"Cuire les pois cassés selon les instructions(30min) et reserver. Dans une grande casserole,faites dorer les filets de poulet, puis réservez. Faites ensuite revenir les oignons et l'ail dans l'huile, remettez les filets et ajoutez les tomates et les pois cassés. Couvrez et laissez mijoter 25min (ajoutez un peu d'eau si nécessaire en milieu de cuisson), ajoutez le basilic et les olives en fin de cuisson.",oui,non,bas,P-L-G,non,non,non,60,janvier,décembre,20515,200,g,36040,150,g,17270,10,ml,20276,200,g,13186,40,g,20034,30,g,11033,20,g,11023,10,g,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
359,Légumineuses,67,Pois cassés,Poulet pois cassés au gingembre,"Cuire les pois cassés selon les instructions(30min) et reserver. Dans une grande poêle chauffez l'huile d'olive à feu moyen. Ajoutez le poulet et faites-le dorer de tous les côtés. Retirez-le de la poêle et réservez. Dans la même poêle, ajoutez l'oignon, la carotte. Faites revenir pendant environ 5 min jusqu'à ce que les légumes commencent à ramollir. Ajoutez l'ail et le gingembre, puis faites cuire encore une minute.Ajoutez les pois cassés et les tomates . Mélangez bien. Remettez le poulet dans la poêle. Ajoutez les herbes de provences,aneth, ciboulettes. Portez à ébullition, puis réduisez le feu et laissez mijoter à couvert pendant environ 25 min. Assaisonnez avec du sel et du poivre selon votre goût. Servez chaud, garni de persil frais haché.",oui,non,bas,P-G,non,non,non,55,janvier,décembre,20515,150,g,22000,50,g,20276,100,g,36040,150,g,17270,10,ml,11006,1,pincée,11023,1,pincée,11093,2,pincée,11003,2,pincée,11060,2,pincée,11014,5,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
360,Légumineuses,68,Pois cassés,"Ragout de pomme de terre au poulet , pois cassés","Cuire les pois cassés selon les instructions(30min) et reserver. Dans une grande poêle,chauffez l'huile d'olive à feu moyen. Ajoutez les filets de poulet et faites-les dorer de tous les côtés. Retirez-les de la poêle et réservez.Dans la même poêle, ajoutez l'oignon, la carotte. Faites revenir pendant environ 5 min jusqu'à ce que les légumes commencent à ramollir. Ajoutez l'ail et le gingembre, puis faites cuire encore une minute.Ajoutez les pommes de terre coupées en dés et les tomates. Mélangez bien.Ajoutez les pois cassés et le bouillon de volaile. Ajoutez les herbes de provence. Portez à ébullition.Réduisez le feu et laissez mijoter à couvert pendant environ 30 min. Assaisonnez avec du sel et du poivre selon votre goût. Servez chaud, garni de persil frais haché.",oui,non,moyen,P-G,non,non,non,55,janvier,décembre,20515,150,g,4008,150,g,20276,100,g,36040,150,g,17270,10,ml,11174,500,ml,11014,10,g,20034,30,g,11023,5,g,11074,10,g,11060,5,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
361,Légumineuses,69,Pois cassés,Lieu noir à la menthe et pois cassés,"Cuire les pois cassés selon les instructions(30min) et reserver.Dans une casserole, portez le bouillon à ébullition.Plongez le filet de lieu noir dans le bouillon frémissant et laissez cuire pendant environ 5 à 8 min. Retirez le poisson de la casserole et réservez au chaud. Dans une poêle, chauffez l'huile d'olive à feu moyen. Ajoutez l'oignon et la carotte, et faites-les revenir pendant environ 5 min, jusqu'à ce qu'ils soient tendres. Ajoutez l'ail et faites cuire encore une minute.Ajoutez les pois cassés dans la poêle avec les légumes. Mélangez bien et laissez cuire pendant quelques min.Assaisonnez les pois cassés avec du sel et du poivre selon votre goût. Ajoutez la menthe fraîche hachée et mélangez.Répartissez les pois et les légumes dans une assiette. Placez le filet de lieu noir cuit sur le dessus. Garnissez éventuellement de feuilles de menthe fraîche supplémentaires pour la décoration. Servez chaud",non,oui,moyen,P-G,non,non,non,45,janvier,décembre,20515,200,g,26134,200,g,17270,10,ml,25948,500,ml,11027,10,g,11014,5,g,11023,5,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
